sampling.year,id,n.leaf,c.leaf,leaf.cn,sif.min,sif.max
2021,Uvalde_p_5b,1.952,43.258,22.16086066,1.03,4.62
2021,Uvalde_p_5c,NA,NA,NA,2.00,3.00
2021,Washington_i_01,1.596,42.576,26.67669173,1.25,4.70
2021,Washington_i_02,1.728,43.275,25.04340278,1.16,4.62
2021,Washington_i_03,1.776,43.571,24.53322072,1.12,4.59
2021,Washington_i_04,2.038,39.132,19.20117763,0.98,5.11
2021,Washington_i_05,2.176,37.571,17.26608456,0.92,5.32
2021,Washington_i_06,1.835,39.137,21.3280654,1.09,5.11
2021,Washington_i_07,1.384,40.489,29.2550578,1.45,4.94
2021,Washington_i_08,1.155,40.06,34.68398268,1.74,4.99
2021,Washington_i_09,1.772,39.544,22.31602709,1.13,5.06
2021,Washington_i_10,2.6,52.192,20.07384615,0.77,3.83
2021,Washington_i_11,2.562,55.294,21.58235753,0.78,3.62
2021,Washington_i_12,2.444,46.749,19.12806874,0.82,4.28
2021,Washington_i_13,1.996,36.656,18.36472946,1.00,5.46
2021,Washington_i_14,2.364,35.285,14.92597293,0.85,5.67
2021,Washington_i_15,1.794,35.023,19.52229654,1.12,5.71
